farm_id,log_milk,log_cows,log_feed,log_land,log_labor,organic,breed,cooperative
404,5.3932,4.5241,8.4803,6.6714,6.2573,0,holstein,0
405,4.0304,3.7899,10.2319,2.0967,7.3886,1,mixed,0
406,3.4631,3.6572,9.1801,1.8911,5.9745,1,jersey,0
407,4.2651,3.291,9.1194,3.6122,7.024,0,holstein,1
408,4.7877,4.1785,7.3122,5.2352,6.7735,1,holstein,0
409,3.8168,3.1292,7.1168,3.0775,7.2425,0,holstein,1
410,4.4324,3.7356,8.4889,4.0867,7.0998,1,holstein,1
411,3.3163,4.3719,6.8993,0.7877,6.7959,0,mixed,1
412,3.2158,2.9382,7.7616,2.187,5.771,0,mixed,1
413,3.1769,2.8838,7.8852,1.7117,5.8182,0,mixed,1
414,2.7641,2.3056,9.2929,1.1259,6.5329,1,mixed,1
415,2.9408,2.4355,7.6453,3.1404,6.9934,0,mixed,0
416,2.21,1.6716,5.5608,0.3086,6.5134,0,mixed,1
417,3.9733,4.2298,8.5044,1.4134,7.5002,0,holstein,0
418,4.2367,5.3089,7.301,2.3554,6.7766,0,holstein,0
419,4.0219,4.9253,8.0426,2.0025,6.228,0,holstein,1
420,3.4736,1.8739,7.6133,3.8757,6.7775,1,jersey,1
421,3.7002,4.2249,7.7263,3.3667,7.1807,0,holstein,1
422,4.9805,4.9221,8.7903,4.0726,7.2599,0,mixed,0
423,3.6381,3.0432,6.4671,3.9029,8.5027,0,jersey,0
424,4.3103,3.6014,7.483,4.369,6.4649,0,jersey,0
425,3.0046,1.4921,8.684,2.9977,6.9412,0,holstein,0
426,4.2364,3.7667,7.0859,3.7642,7.3409,1,holstein,0
427,3.2453,2.4364,6.3912,3.6138,6.9813,0,holstein,0
428,3.8766,3.6996,8.3686,3.57,6.5995,1,mixed,0
429,3.0896,1.9388,9.1231,2.5234,5.7606,0,jersey,1
430,3.4244,4.0429,7.655,3.0011,6.5913,1,jersey,0
431,3.1985,4.5245,5.7392,2.4189,6.141,1,holstein,1
432,3.0692,2.7168,8.706,3.5059,5.6187,0,holstein,1
433,2.7955,2.3631,6.3401,2.8872,6.3635,0,holstein,0
434,2.884,1.344,8.0088,2.6042,6.1623,1,mixed,0
435,3.6756,3.2336,7.1125,2.2053,7.467,0,mixed,0
436,3.0673,2.9184,6.8402,1.5475,7.4809,0,holstein,1
437,2.9222,1.949,7.5581,4.1746,6.2769,0,mixed,0
438,4.5169,3.953,7.8167,3.0943,6.7918,0,holstein,0
439,3.0927,3.05,7.3558,1.9646,5.5134,0,mixed,1
440,3.8728,2.4243,8.5887,3.9703,6.6045,0,holstein,1
441,3.8732,2.9454,7.2539,2.7275,7.3192,1,holstein,0
442,4.5511,4.5713,8.9802,1.3122,7.66,0,mixed,0
443,4.2972,4.1029,8.2812,4.2255,6.4296,0,holstein,0
444,3.3481,3.37,7.3024,2.3555,7.8415,0,holstein,0
445,3.3677,4.1191,7.1341,2.5093,5.7874,0,holstein,0
446,3.174,2.3391,6.3525,3.0494,6.0019,0,holstein,1
447,4.2628,3.5324,7.9907,4.7711,7.5677,1,jersey,1
448,3.8005,3.6473,7.6454,3.024,8.3369,0,mixed,0
449,2.7723,3.0302,5.6278,1.5611,7.3947,0,mixed,1
450,3.7575,3.9355,7.4643,3.6527,6.9677,0,holstein,0
451,2.8766,2.7196,7.099,2.418,5.2439,0,jersey,1
452,5.1189,4.0098,9.2757,5.6655,5.382,1,holstein,1
453,3.4356,4.0519,6.2972,2.9987,7.1035,0,holstein,1
454,2.3775,0.5828,6.5586,0.318,6.7135,0,holstein,1
455,4.112,4.6903,9.11,3.4288,6.1153,0,mixed,0
456,3.0373,0.4524,9.3568,5.3335,7.0524,0,mixed,0
457,3.3876,2.884,6.955,5.2911,7.0921,1,mixed,0
458,4.3611,4.5253,7.3679,5.1971,7.7555,0,jersey,0
459,3.8353,3.1827,8.6162,1.7763,7.1093,0,holstein,1
460,2.8262,2.0338,5.6729,4.0946,7.9827,0,jersey,0
461,2.7665,2.4063,6.1388,2.1336,7.0064,0,jersey,1
462,4.0103,4.5269,7.7193,3.2691,6.9077,0,holstein,0
463,3.4454,1.5785,9.2499,1.8725,7.8514,1,holstein,0
464,4.2349,4.629,7.5643,2.2267,6.2172,0,holstein,0
465,4.2619,3.4449,8.1009,2.1885,9.2516,0,mixed,1
466,3.9601,2.3076,9.1338,4.0783,7.3002,0,holstein,1
467,4.3719,2.9169,10.1069,3.9609,7.3047,0,mixed,0
468,3.4721,2.4828,7.1232,3.7322,7.4201,1,holstein,0
469,3.9715,4.3662,7.9832,1.3795,8.5017,0,jersey,1
470,4.6718,4.2324,9.8221,2.626,7.634,0,holstein,0
471,2.5978,1.7808,6.4778,2.1047,5.716,0,holstein,1
472,4.5368,3.0964,9.0276,4.0436,8.1228,0,holstein,0
473,3.5,2.6368,6.9817,4.4138,6.7273,0,holstein,0
474,4.6427,4.7935,8.1025,4.2677,7.0857,0,mixed,0
475,2.6704,2.1499,7.7574,2.0937,5.9766,0,holstein,0
476,3.2242,5.1042,7.042,-0.2874,7.421,0,jersey,0
477,3.6052,3.4667,7.0169,0.8796,6.4789,0,holstein,0
478,3.7379,2.3381,8.2764,4.706,7.0801,0,holstein,1
479,3.772,2.8227,8.9955,2.5185,6.7727,0,jersey,0
480,4.2301,2.6984,7.8703,2.0991,8.54,0,holstein,0
481,3.8377,2.2254,8.0701,4.9712,8.5858,0,mixed,0
482,4.0042,3.5948,8.5712,4.5182,7.0372,0,mixed,0
483,3.1531,2.2721,7.0284,3.0293,7.0512,0,jersey,1
484,3.4191,1.3196,8.7397,2.6479,6.7012,0,holstein,0
485,4.4264,3.1203,8.8193,2.8415,7.8848,0,holstein,1
486,3.5961,1.6971,10.6036,3.2726,6.7369,0,mixed,0
487,3.9602,2.7478,7.6239,4.9201,6.6629,0,holstein,1
488,3.4384,2.5909,7.5419,3.507,7.7829,0,holstein,0
489,3.5165,2.6288,8.769,3.8712,6.5694,0,holstein,1
490,5.042,5.501,8.8191,4.4031,6.9698,0,mixed,0
491,3.3447,3.5564,7.4649,1.5964,5.735,0,jersey,0
492,4.5692,3.7454,7.5968,3.9058,7.5634,0,mixed,1
493,3.5757,1.7236,8.5411,2.6465,8.5527,0,mixed,1
494,3.0666,2.846,7.1724,-0.0193,7.577,0,holstein,1
495,3.4126,3.7153,7.5895,0.4462,8.1694,0,mixed,0
496,2.392,2.4755,8.0896,1.7783,6.3231,0,holstein,1
497,4.6945,4.4081,8.9959,3.6375,7.1891,0,jersey,1
498,3.5687,2.2973,7.3954,3.1366,6.2455,0,holstein,1
499,3.325,3.2136,6.1576,3.2212,6.8178,0,mixed,0
500,3.5375,2.9139,6.0834,5.3411,7.6178,0,holstein,1
