firm_id,year,log_output,log_labor,log_capital,log_spectrum,technology,market_share
33,2015,7.7684,5.9224,6.5139,6.0849,3G,0.0246
34,2015,8.8642,6.56,9.7526,5.5644,3G,0.01
35,2015,8.8529,7.9344,7.4355,5.848,4G,0.0515
36,2015,7.9938,6.2071,6.9673,4.9409,4G,0.0384
37,2015,9.3591,4.9684,11.1613,5.9537,3G,0.01
38,2015,9.0544,6.4801,8.5611,4.9075,4G,0.0343
39,2015,8.3064,7.1913,7.4622,6.4541,3G,0.0169
40,2015,9.1171,7.2433,9.1204,5.3477,4G,0.037
1,2016,8.9509,8.287,8.8446,4.7196,4G,0.0241
2,2016,8.8355,7.2467,8.4492,5.7263,4G,0.0312
3,2016,8.4906,7.7218,7.7761,4.6906,4G,0.0272
4,2016,8.1766,7.143,7.2922,4.879,4G,0.01
5,2016,8.2681,6.6116,7.9515,4.043,4G,0.023
6,2016,8.5679,5.1221,9.1333,5.7927,4G,0.055
7,2016,10.0434,8.6337,11.461,4.0062,3G,0.0144
8,2016,8.4287,7.722,7.5982,5.7056,3G,0.0239
9,2016,9.3783,7.9748,9.0355,5.1947,4G,0.0114
10,2016,7.6205,6.0386,7.4532,4.8246,3G,0.0465
11,2016,10.1011,6.704,10.9321,6.4775,4G,0.0369
12,2016,8.7905,6.789,9.2207,5.105,4G,0.0493
13,2016,9.7263,6.0025,12.9273,4.4651,4G,0.023
14,2016,8.4883,6.946,9.853,3.9228,3G,0.0408
15,2016,7.0977,6.9391,6.0945,4.3003,3G,0.01
16,2016,9.4053,7.0082,9.973,5.8803,3G,0.0406
17,2016,9.0242,7.3247,9.1795,5.0344,4G,0.0205
18,2016,7.9653,6.5997,7.934,4.7427,4G,0.0335
19,2016,8.7857,5.9963,10.1229,4.9343,4G,0.0298
20,2016,8.7139,6.3666,8.986,6.2411,3G,0.0563
21,2016,9.2316,6.2784,11.3666,5.318,4G,0.0203
22,2016,9.8097,8.2946,11.2181,4.4733,3G,0.0669
23,2016,8.4142,5.6171,8.2856,4.8624,4G,0.0471
24,2016,8.3592,5.4157,8.5117,4.7238,4G,0.0676
25,2016,6.727,5.9862,5.3144,3.8907,3G,0.0349
26,2016,9.8673,8.391,10.5319,5.3284,4G,0.01
27,2016,9.98,8.428,9.5691,5.9428,4G,0.0419
28,2016,6.5669,6.5183,5.7239,3.6494,3G,0.0208
29,2016,9.6644,7.0015,11.5381,4.3395,4G,0.0322
30,2016,8.3868,6.8471,6.9247,6.4838,4G,0.0678
31,2016,9.1598,8.0008,9.192,5.4339,4G,0.0315
32,2016,8.79,5.9592,8.7165,4.8175,4G,0.01
33,2016,8.5045,6.5383,9.2002,4.2422,4G,0.0426
34,2016,9.7229,6.9287,10.6168,5.7938,3G,0.0459
35,2016,8.609,6.35,8.036,4.3989,4G,0.097
36,2016,9.8779,8.1306,10.0033,6.9706,4G,0.0142
37,2016,9.0307,4.7961,10.3013,5.1068,4G,0.01
38,2016,8.6565,6.2832,8.9682,6.0694,3G,0.0157
39,2016,7.8128,7.0844,6.1582,4.3002,4G,0.0473
40,2016,8.5937,6.6681,9.0548,5.9576,3G,0.01
1,2017,8.9768,6.6876,9.7691,4.3947,4G,0.0386
2,2017,8.2767,6.8055,8.6994,4.6297,3G,0.0274
3,2017,8.4962,5.9377,8.4526,5.5657,4G,0.01
4,2017,9.7896,7.7336,10.9717,6.2131,3G,0.0266
5,2017,7.888,6.1332,7.2075,4.8896,4G,0.0322
6,2017,9.5475,7.8213,9.0437,7.2593,3G,0.0318
7,2017,9.548,7.028,9.565,7.029,4G,0.0168
8,2017,9.097,5.1604,9.9345,6.3551,4G,0.01
9,2017,8.5135,5.4997,10.3399,4.9859,3G,0.01
10,2017,8.4253,6.2124,9.8132,4.3794,3G,0.0214
11,2017,8.7882,8.0773,8.2473,6.1627,3G,0.0368
12,2017,9.2505,8.1585,8.2432,7.0173,3G,0.01
13,2017,9.5673,7.5471,10.3583,5.3074,4G,0.01
14,2017,8.5884,5.5679,8.0922,5.6157,4G,0.0128
15,2017,9.2591,7.0894,10.0236,4.8546,4G,0.0583
16,2017,9.2718,7.0162,9.0923,5.8586,4G,0.01
17,2017,8.7799,6.7505,9.5721,4.8012,3G,0.0255
18,2017,8.0941,6.7255,8.0255,4.8813,4G,0.0117
19,2017,10.6212,7.3765,11.6756,5.2613,4G,0.0496
20,2017,8.8158,6.3577,9.4565,6.0255,3G,0.0721
21,2017,8.4556,7.0138,7.7706,5.6837,4G,0.0142
22,2017,8.9445,9.3705,8.5353,4.1536,4G,0.0125
23,2017,9.1834,7.4248,10.043,4.9175,3G,0.0535
24,2017,8.4363,5.8284,7.4119,6.2021,4G,0.0496
25,2017,8.3837,7.4983,6.6261,6.0248,4G,0.0146
26,2017,7.7672,5.7413,6.9797,4.7692,4G,0.0249
27,2017,7.7485,5.8268,8.1196,5.1061,3G,0.01
28,2017,8.2211,6.8791,7.5,5.2893,3G,0.01
29,2017,9.0382,7.8219,8.4982,4.9258,4G,0.0258
30,2017,9.1115,7.2277,8.5989,5.7696,4G,0.1047
31,2017,8.685,6.994,9.2213,6.0518,3G,0.0212
32,2017,9.8313,5.4065,10.4898,7.1229,4G,0.0115
33,2017,7.4202,5.0524,6.5058,5.5333,4G,0.0134
34,2017,8.4049,7.3023,6.9693,4.9521,4G,0.0129
35,2017,9.2851,6.3307,9.7819,6.2748,3G,0.0666
36,2017,8.6427,7.9753,8.0408,5.6354,3G,0.01
37,2017,8.2595,5.9059,7.2081,6.051,4G,0.0111
38,2017,9.0093,5.2792,10.1099,5.0133,4G,0.0218
39,2017,7.956,5.8092,8.4177,5.3965,3G,0.0591
40,2017,8.4371,6.3281,9.5913,3.1995,4G,0.0479
1,2018,8.9526,7.8489,8.6416,5.2663,4G,0.0168
2,2018,7.4167,7.6075,6.1211,4.7145,3G,0.01
3,2018,9.5492,6.2504,10.8284,4.8426,4G,0.0232
4,2018,8.4388,6.4185,7.824,5.2727,4G,0.0376
5,2018,9.0737,5.9814,9.5338,5.6267,4G,0.0448
6,2018,10.4596,7.1731,11.505,6.0634,4G,0.0412
7,2018,9.0963,7.2361,9.9544,4.5905,4G,0.0271
8,2018,9.3927,6.5374,9.1523,6.241,4G,0.0172
9,2018,8.8564,7.8738,10.0235,4.104,3G,0.01
10,2018,9.4436,7.5733,9.2611,5.807,4G,0.0474
11,2018,8.5323,6.8381,9.1068,3.9343,4G,0.0122
12,2018,8.3477,6.5632,9.7711,4.5735,3G,0.0121
13,2018,9.2941,8.4335,10.0467,4.2194,4G,0.0257
14,2018,8.8349,7.3808,7.9969,5.5096,4G,0.0137
15,2018,7.2736,6.4369,5.5752,4.9209,4G,0.0266
16,2018,7.5563,6.6067,5.9541,5.5108,4G,0.0359
17,2018,8.6618,6.8032,8.7072,5.6546,3G,0.01
18,2018,7.9708,5.1765,8.1171,5.3258,4G,0.01
19,2018,8.7287,5.854,8.7902,5.6234,4G,0.0227
20,2018,9.0106,6.662,9.5665,5.3683,4G,0.0536
21,2018,7.2698,5.6497,6.7477,4.7424,4G,0.01
22,2018,8.0123,5.7748,8.5796,3.8626,4G,0.04
23,2018,8.904,6.137,10.5708,4.2508,4G,0.0591
24,2018,8.156,7.2195,8.9444,3.6246,4G,0.0955
25,2018,8.5126,5.5956,9.0409,5.4564,3G,0.01
26,2018,8.9163,6.7163,8.8172,6.2203,4G,0.0418
27,2018,9.9816,7.1687,9.7825,6.9236,4G,0.0449
28,2018,8.7511,6.432,9.2141,4.3885,4G,0.0337
29,2018,10.3719,6.493,11.5844,7.0006,4G,0.032
30,2018,9.2063,7.8848,8.657,5.0788,4G,0.0751
31,2018,9.3018,5.3514,10.2567,7.0712,3G,0.0314
32,2018,8.1525,6.9397,7.7329,5.1834,3G,0.01
33,2018,8.287,5.3789,7.1477,5.7524,4G,0.01
34,2018,8.9749,8.0878,10.1153,4.1049,3G,0.01
35,2018,8.19,5.4863,9.9064,3.717,3G,0.0602
36,2018,9.8469,6.3427,10.3455,6.2375,4G,0.0213
37,2018,9.2538,7.4627,9.3481,5.4548,4G,0.026
38,2018,9.3019,6.3824,9.2079,6.4922,4G,0.01
39,2018,9.281,6.4343,9.6694,5.1457,4G,0.0478
40,2018,9.9732,6.9601,11.2601,5.2841,4G,0.01
1,2019,8.421,7.2581,7.2937,4.9378,4G,0.0124
2,2019,8.8956,6.9832,8.5082,5.7148,4G,0.0151
3,2019,8.5246,6.0602,9.225,5.2152,4G,0.021
4,2019,7.8106,7.1894,7.4804,4.2442,3G,0.0475
5,2019,9.2131,7.8514,9.2249,5.6799,4G,0.03
6,2019,8.7719,7.4659,7.8063,5.4835,4G,0.0315
7,2019,9.1135,6.4651,8.2354,6.7121,4G,0.0249
8,2019,8.1258,5.9489,7.4725,6.2281,4G,0.0156
9,2019,9.113,6.5069,9.5902,5.884,4G,0.01
10,2019,8.8543,5.3872,8.7112,6.4738,3G,0.0341
11,2019,9.6528,7.2898,10.298,6.0533,3G,0.01
12,2019,7.6938,6.1816,6.7094,5.7384,3G,0.0163
13,2019,10.1202,7.371,11.7408,5.4867,4G,0.01
14,2019,8.6726,5.7978,9.4933,4.8479,4G,0.0508
15,2019,10.0519,8.5631,9.7127,5.1468,4G,0.0697
16,2019,9.4869,4.8677,10.746,6.143,3G,0.0212
17,2019,9.3335,6.8233,10.1632,4.1239,4G,0.0436
18,2019,8.3193,7.2788,7.921,4.8989,4G,0.0243
19,2019,9.1761,4.9463,10.3121,6.426,4G,0.0309
20,2019,8.3143,7.0438,8.2367,4.7103,3G,0.0617
21,2019,8.7671,6.7497,7.8284,6.3905,4G,0.0499
22,2019,8.432,6.0059,8.7924,5.242,4G,0.0518
23,2019,8.41,7.0674,7.4935,4.2487,4G,0.0693
24,2019,8.3892,6.4321,7.1163,6.5492,4G,0.0491
25,2019,9.7319,8.111,9.3295,6.0769,4G,0.0148
26,2019,9.3036,6.4555,11.4972,4.6733,3G,0.0242
27,2019,8.7884,6.3384,9.549,5.3169,4G,0.0455
28,2019,8.8637,5.0185,9.2928,5.8322,4G,0.01
29,2019,9.1909,5.3961,11.6875,4.607,3G,0.01
30,2019,9.1419,6.1255,9.8546,5.5553,4G,0.0842
31,2019,9.8936,5.7,9.937,7.6497,4G,0.0375
32,2019,7.5281,4.7447,7.2801,6.4218,3G,0.01
33,2019,7.4788,5.6119,7.3884,5.3489,3G,0.01
34,2019,8.966,7.1691,8.6362,5.2283,4G,0.01
35,2019,9.5206,7.2459,10.0211,5.3393,4G,0.0436
36,2019,9.3276,7.5908,9.8078,5.852,3G,0.01
37,2019,9.897,7.6449,10.2275,5.3325,4G,0.0183
38,2019,8.7671,6.9265,9.2551,4.781,3G,0.0354
39,2019,8.817,6.7168,8.3563,4.9801,4G,0.0187
40,2019,7.9712,5.1911,8.1727,4.0923,4G,0.01
