exporter,importer,year,trade_value,distance,contiguous,common_language,gdp_exporter,gdp_importer,trade_agreement
C37,C41,2007,587.67,2627.13,0,0,9378.54,1092.52,0
C48,C23,2007,189.14,7652.67,0,0,6354.72,1619.29,0
C25,C18,2007,61.59,1071.94,0,0,2464.19,86.55,0
C29,C17,2007,0.0,1566.35,0,0,255.99,623.04,0
C19,C22,2007,144.76,1064.84,0,0,2826.81,774.64,0
C24,C16,2007,4.67,2472.16,0,0,423.99,30.26,0
C44,C01,2007,0.34,5575.7,0,0,155.46,79.29,0
C36,C05,2007,241.58,474.11,0,1,779.9,483.44,0
C50,C14,2007,86.01,619.48,1,0,682.73,256.78,0
C01,C28,2007,8.96,1052.58,0,0,79.29,1003.69,0
C04,C23,2007,0.0,4041.02,0,0,2696.22,1619.29,0
C33,C15,2007,53.94,2361.44,0,0,1154.06,116.52,0
C02,C17,2007,63.88,549.27,0,0,142.73,623.04,0
C10,C36,2007,86.74,3076.89,0,0,2061.0,779.9,1
C46,C13,2007,14.53,3246.85,0,0,2331.02,220.42,0
C03,C46,2007,5877.51,103.91,0,0,927.6,2331.02,0
C35,C02,2007,103.63,346.87,0,0,1051.58,142.73,0
C21,C07,2007,36.46,1877.64,0,0,897.73,468.9,0
C06,C08,2007,2.14,6092.0,0,0,96.05,170.76,0
C14,C26,2007,7.95,2780.13,0,0,256.78,409.03,0
C39,C25,2007,0.0,874.58,0,0,1684.15,2464.19,0
C30,C31,2007,0.0,1884.03,0,0,277.79,1070.17,0
C43,C12,2007,931.45,751.31,1,0,1228.68,3147.77,1
C33,C43,2007,0.0,8071.11,0,0,1154.06,1228.68,0
C34,C25,2007,20.49,2274.54,0,0,134.65,2464.19,0
C04,C15,2007,7.96,6076.44,0,0,2696.22,116.52,0
C18,C44,2007,0.0,2582.04,0,0,86.55,155.46,0
C37,C13,2007,458.75,1669.31,0,0,9378.54,220.42,0
C45,C05,2007,0.0,1259.12,0,0,17.57,483.44,0
C22,C17,2007,38.32,1587.57,0,1,774.64,623.04,0
C11,C10,2007,2337.89,168.54,0,0,1385.74,2061.0,0
C40,C18,2007,24.39,208.0,1,0,32.21,86.55,0
C38,C10,2007,15.6,2401.36,0,0,162.97,2061.0,0
C27,C12,2007,46.44,3645.47,0,0,191.03,3147.77,0
C45,C04,2007,5.41,2399.72,0,0,17.57,2696.22,0
C06,C10,2007,0.72,43016.98,0,0,96.05,2061.0,0
C17,C11,2007,51.97,5495.41,0,0,623.04,1385.74,0
C09,C04,2007,170.14,1348.72,0,0,102.22,2696.22,0
C41,C32,2007,0.0,1520.83,0,0,1092.52,1171.62,0
C08,C39,2007,10.49,3231.97,0,0,170.76,1684.15,0
C36,C27,2007,54.87,692.66,0,0,779.9,191.03,0
C40,C46,2007,0.0,125.71,1,0,32.21,2331.02,1
C22,C42,2007,14.93,1034.67,0,1,774.64,30.22,0
C43,C01,2007,433.22,238.14,0,0,1228.68,79.29,0
C42,C14,2007,0.0,3226.9,0,0,30.22,256.78,0
C17,C26,2007,34.68,1658.84,0,0,623.04,409.03,0
C06,C27,2007,0.0,9757.0,0,0,96.05,191.03,0
C22,C31,2007,56.33,2455.23,0,0,774.64,1070.17,0
C47,C17,2007,24.85,4609.06,0,1,369.01,623.04,0
C46,C43,2007,133.48,1170.12,0,0,2331.02,1228.68,0
C22,C45,2007,0.09,19431.84,0,0,774.64,17.57,0
C16,C14,2007,4.41,799.46,0,0,30.26,256.78,1
C42,C04,2007,5.22,1931.08,0,0,30.22,2696.22,0
C16,C01,2007,19.2,242.56,1,1,30.26,79.29,0
C24,C02,2007,7.47,1353.19,0,0,423.99,142.73,0
C15,C30,2007,0.0,21094.53,0,0,116.52,277.79,0
C01,C23,2007,0.0,188.75,0,0,79.29,1619.29,0
C11,C41,2007,162.69,1517.32,0,0,1385.74,1092.52,0
C13,C22,2007,12.3,2979.45,0,0,220.42,774.64,0
C38,C29,2007,42.64,523.22,0,1,162.97,255.99,0
C22,C27,2007,2825.22,49.25,0,0,774.64,191.03,0
C05,C17,2007,1374.3,226.15,0,0,483.44,623.04,0
C50,C19,2007,0.0,159.51,0,0,682.73,2826.81,0
C02,C29,2007,30.35,476.22,0,0,142.73,255.99,0
C37,C17,2007,0.0,4698.17,0,0,9378.54,623.04,0
C06,C14,2007,12.13,1333.34,0,1,96.05,256.78,0
C03,C38,2007,21.36,1853.64,0,1,927.6,162.97,0
C20,C24,2007,0.0,3925.35,0,1,32.14,423.99,0
C36,C32,2007,260.41,427.72,0,0,779.9,1171.62,0
C42,C50,2007,0.62,7504.14,0,0,30.22,682.73,0
C19,C47,2007,2592.12,141.31,0,0,2826.81,369.01,0
C32,C48,2007,808.65,623.92,0,0,1171.62,6354.72,0
C45,C07,2007,9.03,686.73,1,0,17.57,468.9,0
C09,C28,2007,4.29,5223.42,0,0,102.22,1003.69,0
C49,C15,2007,950.2,467.7,1,1,3922.51,116.52,0
C39,C40,2007,51.43,1388.77,0,0,1684.15,32.21,1
C15,C07,2007,7.74,1718.95,0,0,116.52,468.9,0
C44,C22,2007,0.0,2861.38,0,0,155.46,774.64,0
C29,C14,2007,15.64,585.11,0,0,255.99,256.78,0
C36,C34,2007,1.74,4435.8,0,0,779.9,134.65,0
C10,C01,2007,3.61,11007.96,0,0,2061.0,79.29,0
C24,C37,2007,91.63,2610.61,0,0,423.99,9378.54,0
C28,C22,2007,828.35,348.06,1,0,1003.69,774.64,0
C34,C16,2007,140.76,72.05,1,0,134.65,30.26,0
C41,C10,2007,0.0,5615.9,0,0,1092.52,2061.0,0
C48,C14,2007,797.61,482.55,0,0,6354.72,256.78,0
C33,C41,2007,475.49,646.6,0,0,1154.06,1092.52,0
C29,C48,2007,125.16,3110.81,0,1,255.99,6354.72,0
C36,C48,2007,0.0,5491.92,0,0,779.9,6354.72,0
C47,C49,2007,54.38,4902.81,0,0,369.01,3922.51,0
C08,C36,2007,4.89,3917.51,0,0,170.76,779.9,0
C14,C17,2007,457.88,184.04,0,1,256.78,623.04,0
C18,C15,2007,1.32,6149.88,0,0,86.55,116.52,0
C42,C13,2007,1.54,2216.93,0,1,30.22,220.42,1
C37,C46,2007,3317.28,603.44,1,0,9378.54,2331.02,0
C14,C22,2007,212.16,223.8,0,0,256.78,774.64,0
C05,C33,2007,20.08,4721.69,0,0,483.44,1154.06,0
C39,C42,2007,63.77,434.67,0,0,1684.15,30.22,0
C45,C08,2007,0.81,1162.65,0,0,17.57,170.76,0
C08,C47,2007,18.22,2329.97,0,0,170.76,369.01,0
C39,C26,2007,1316.66,845.1,1,0,1684.15,409.03,0
C08,C18,2007,79.35,367.1,1,0,170.76,86.55,1
C25,C15,2007,39.4,2650.76,0,0,2464.19,116.52,0
C29,C18,2007,152.56,375.35,1,0,255.99,86.55,0
C16,C30,2007,4.98,859.16,1,0,30.26,277.79,0
C40,C21,2007,1.68,2719.43,0,0,32.21,897.73,0
C29,C08,2007,3.71,1567.16,0,0,255.99,170.76,0
C08,C20,2007,0.53,8381.03,0,0,170.76,32.14,1
C34,C13,2007,0.0,821.45,1,0,134.65,220.42,0
C48,C02,2007,429.32,547.02,0,1,6354.72,142.73,0
C11,C07,2007,47.1,3132.63,0,0,1385.74,468.9,0
C09,C20,2007,18.24,241.05,0,0,102.22,32.14,0
C30,C32,2007,4.27,4774.76,0,0,277.79,1171.62,0
C31,C17,2007,65.74,1918.28,0,0,1070.17,623.04,0
C22,C04,2007,322.9,1213.18,0,0,774.64,2696.22,0
C11,C05,2007,119.44,674.98,0,0,1385.74,483.44,0
C01,C03,2007,0.24,32743.15,0,0,79.29,927.6,0
C27,C39,2007,0.0,3132.09,0,1,191.03,1684.15,0
C29,C05,2007,0.0,11437.35,0,0,255.99,483.44,0
C22,C50,2007,505.17,294.1,0,1,774.64,682.73,0
C15,C06,2007,4.11,877.47,0,0,116.52,96.05,0
C29,C41,2007,3.25,10720.19,0,0,255.99,1092.52,0
C04,C02,2007,67.29,2206.73,0,0,2696.22,142.73,0
C47,C16,2007,1.19,2214.8,0,0,369.01,30.26,0
C08,C48,2007,78.68,1278.49,0,0,170.76,6354.72,0
C29,C42,2007,8.01,920.02,1,0,255.99,30.22,1
C47,C41,2007,1.02,13486.92,0,0,369.01,1092.52,0
C10,C07,2007,881.39,544.18,1,0,2061.0,468.9,0
C23,C27,2007,3.67,10721.72,0,0,1619.29,191.03,0
C13,C40,2008,15.43,2023.68,0,0,226.27,32.74,0
C17,C44,2008,0.0,4816.75,0,0,626.08,159.36,0
C13,C07,2008,0.0,18531.71,0,0,226.27,475.52,1
C02,C35,2008,22.48,2571.49,0,0,142.95,1070.2,0
C31,C45,2008,2.36,3832.85,0,0,1090.12,17.94,0
C46,C21,2008,201.97,1311.5,0,1,2351.02,910.09,0
C07,C25,2008,0.0,460.03,1,0,475.52,2498.97,0
C35,C03,2008,33.95,2189.53,0,0,1070.2,940.86,0
C02,C48,2008,81.97,1754.07,0,0,142.95,6456.16,0
C24,C28,2008,23.5,5029.91,0,0,426.33,1030.06,0
C49,C06,2008,2.62,26308.77,0,0,4060.39,96.47,0
C14,C35,2008,0.0,4994.9,0,0,260.63,1070.2,0
C48,C25,2008,833.69,2065.06,0,0,6456.16,2498.97,0
C25,C46,2008,1657.15,1129.55,0,0,2498.97,2351.02,0
C39,C44,2008,0.0,1022.82,0,0,1701.61,159.36,0
C10,C41,2008,51.02,7434.7,0,1,2123.66,1090.87,0
C46,C47,2008,1831.09,240.56,0,0,2351.02,381.91,1
C06,C05,2008,31.79,910.87,0,1,96.47,498.93,0
C24,C29,2008,99.01,731.65,1,1,426.33,263.57,0
C05,C13,2008,7.9,6798.37,0,0,498.93,226.27,0
C11,C22,2008,776.7,501.75,0,0,1474.29,800.46,1
C31,C43,2008,17.5,6060.65,0,0,1090.12,1246.83,0
C30,C33,2008,19.34,7895.78,0,0,281.27,1195.61,0
C47,C43,2008,527.16,585.68,0,0,381.91,1246.83,1
C24,C35,2008,8.38,2483.99,0,0,426.33,1070.2,0
C48,C04,2008,0.0,3404.56,0,0,6456.16,2684.36,0
C05,C10,2008,278.09,767.16,1,0,498.93,2123.66,0
C17,C18,2008,8.65,3764.96,0,1,626.08,88.57,1
C16,C46,2008,9.08,3446.18,0,0,31.21,2351.02,0
C44,C46,2008,34.88,2898.36,0,0,159.36,2351.02,0
C46,C26,2008,0.0,1631.89,0,1,2351.02,411.76,0
C02,C43,2008,0.0,1544.94,0,0,142.95,1246.83,0
C16,C21,2008,3.78,4033.53,0,0,31.21,910.09,0
C01,C31,2008,26.99,429.61,0,0,81.74,1090.12,0
C30,C06,2008,19.34,898.27,1,0,281.27,96.47,0
C24,C01,2008,0.0,1331.52,0,0,426.33,81.74,0
C08,C14,2008,6.56,3568.83,0,0,175.73,260.63,0
C21,C24,2008,0.0,1627.18,0,0,910.09,426.33,0
C05,C50,2008,19.67,2919.86,0,0,498.93,709.75,0
C19,C40,2008,0.0,1173.96,0,0,2851.93,32.74,0
C46,C49,2008,70.0,7193.86,0,0,2351.02,4060.39,0
C09,C50,2008,100.6,168.55,0,0,104.31,709.75,0
C15,C46,2008,63.77,1415.27,0,0,118.63,2351.02,0
C44,C25,2008,3.3,13022.19,0,0,159.36,2498.97,0
C14,C10,2008,31.8,1078.35,0,0,260.63,2123.66,0
C47,C32,2008,0.0,7508.02,0,0,381.91,1190.97,0
C49,C42,2008,0.0,8470.75,0,0,4060.39,31.36,0
C44,C40,2008,2.21,888.1,0,0,159.36,32.74,0
C28,C49,2008,85.32,3112.8,0,0,1030.06,4060.39,0
C21,C16,2008,1.77,3581.59,0,0,910.09,31.21,0
C46,C45,2008,0.0,783.64,1,0,2351.02,17.94,0
C02,C13,2008,10.96,2554.05,0,1,142.95,226.27,0
C14,C15,2008,5.18,2628.93,0,0,260.63,118.63,0
C37,C26,2008,2279.14,730.87,1,0,9645.49,411.76,0
C33,C47,2008,13.72,10254.29,0,0,1195.61,381.91,1
C28,C41,2008,0.0,1737.73,0,0,1030.06,1090.87,0
C28,C32,2008,68.24,1507.73,0,0,1030.06,1190.97,0
C31,C37,2008,4478.25,609.86,1,1,1090.12,9645.49,0
C06,C02,2008,13.4,727.7,0,0,96.47,142.95,0
C20,C34,2008,4.38,993.79,1,0,33.03,140.99,0
C43,C13,2008,362.49,252.67,0,0,1246.83,226.27,0
C24,C38,2008,118.49,265.2,1,1,426.33,166.51,0
C11,C17,2008,270.7,829.83,0,0,1474.29,626.08,0
C27,C22,2008,37.36,1406.73,0,0,194.97,800.46,0
C47,C40,2008,4.16,1203.22,0,0,381.91,32.74,0
C14,C44,2008,5.44,4961.33,0,0,260.63,159.36,1
C42,C18,2008,0.34,3520.85,0,0,31.36,88.57,0
C34,C28,2008,0.0,1577.16,0,0,140.99,1030.06,0
C39,C23,2008,10403.63,96.08,0,0,1701.61,1605.83,0
C32,C30,2008,557.18,299.43,0,0,1190.97,281.27,0
C08,C32,2008,0.0,1070.56,0,0,175.73,1190.97,0
C48,C05,2008,80.92,9826.46,0,0,6456.16,498.93,0
C48,C24,2008,164.24,2457.33,0,0,6456.16,426.33,0
C14,C29,2008,0.36,15170.44,0,0,260.63,263.57,0
C42,C25,2008,33.67,835.56,0,1,31.36,2498.97,0
C06,C45,2008,0.33,2325.46,0,0,96.47,17.94,0
C21,C32,2008,121.58,1175.93,0,0,910.09,1190.97,0
C05,C15,2008,15.03,3269.32,0,1,498.93,118.63,0
C08,C16,2008,6.57,1281.56,0,1,175.73,31.21,0
C30,C12,2008,213.05,933.37,0,0,281.27,3206.5,0
C06,C24,2008,12.3,2548.03,0,1,96.47,426.33,0
C37,C47,2008,228.54,1545.79,0,0,9645.49,381.91,0
C16,C24,2008,92.94,192.4,1,0,31.21,426.33,0
C03,C29,2008,158.71,418.21,0,0,940.86,263.57,0
C44,C24,2008,0.3,38682.4,0,0,159.36,426.33,1
C35,C30,2008,3.02,9916.27,0,0,1070.2,281.27,0
C06,C30,2008,0.0,517.35,1,0,96.47,281.27,0
C07,C34,2008,3.6,5461.31,0,1,475.52,140.99,0
C38,C16,2008,1.63,1670.68,0,0,166.51,31.21,0
C26,C17,2008,1428.89,126.97,0,0,411.76,626.08,1
C18,C11,2008,0.0,3614.83,0,1,88.57,1474.29,1
C11,C19,2008,0.0,12385.61,0,0,1474.29,2851.93,0
C49,C19,2008,0.0,2278.85,0,0,4060.39,2851.93,0
C23,C09,2008,113.09,1200.44,0,0,1605.83,104.31,0
C02,C30,2008,13.54,1723.5,0,0,142.95,281.27,0
C37,C03,2008,0.0,2009.33,0,0,9645.49,940.86,0
C43,C49,2008,1249.57,817.21,0,1,1246.83,4060.39,0
C04,C03,2008,52.12,4745.62,0,0,2684.36,940.86,0
C11,C13,2008,14.83,3350.17,0,0,1474.29,226.27,0
C06,C50,2008,0.0,3659.31,0,0,96.47,709.75,0
C41,C14,2008,10.19,5427.3,0,0,1090.87,260.63,0
C32,C05,2008,2860.28,138.82,1,0,1190.97,498.93,0
C35,C24,2008,0.0,4823.04,0,0,1070.2,426.33,0
C04,C41,2008,133.86,3220.45,0,0,2684.36,1090.87,0
C33,C50,2008,25.63,4821.58,0,0,1195.61,709.75,1
C31,C47,2008,69.42,1544.27,0,1,1090.12,381.91,0
C09,C45,2008,1.83,1832.41,0,1,104.31,17.94,0
C19,C32,2008,0.0,804.45,1,0,2851.93,1190.97,0
C19,C35,2008,1078.69,697.04,1,0,2851.93,1070.2,0
C06,C15,2008,1.06,2004.47,0,0,96.47,118.63,0
C48,C26,2008,0.0,6135.43,0,0,6456.16,411.76,0
C16,C11,2008,0.76,14960.44,0,0,31.21,1474.29,0
C46,C10,2008,66.29,3634.06,0,0,2351.02,2123.66,0
C43,C40,2008,1.09,10937.8,0,0,1246.83,32.74,0
C07,C17,2008,250.71,619.52,0,0,475.52,626.08,0
C22,C29,2008,14.67,6341.98,0,1,800.46,263.57,0
C20,C21,2008,9.78,1190.94,0,1,33.03,910.09,0
C42,C09,2008,0.48,2465.79,0,0,31.36,104.31,0
C42,C36,2008,0.59,4202.99,0,0,31.36,801.72,0
C49,C01,2008,37.49,1605.37,0,0,4060.39,81.74,0
C46,C11,2008,246.12,1301.64,0,0,2351.02,1474.29,0
C25,C50,2008,89.09,1533.97,0,1,2498.97,709.75,0
C17,C03,2008,0.0,4622.41,0,0,626.08,940.86,0
C27,C18,2008,0.62,4131.77,0,0,194.97,88.57,0
C40,C19,2008,33.22,785.33,1,0,32.74,2851.93,0
C34,C42,2008,1.35,2099.0,0,0,140.99,31.36,0
C31,C28,2008,968.21,673.84,0,1,1090.12,1030.06,0
C14,C37,2008,525.28,1061.79,0,0,260.63,9645.49,0
C21,C35,2008,455.24,1539.25,0,1,910.09,1070.2,0
C12,C23,2008,0.0,629.94,0,1,3206.5,1605.83,0
C08,C29,2008,26.47,928.89,0,0,175.73,263.57,0
C49,C48,2008,307.81,4632.68,0,0,4060.39,6456.16,0
C29,C13,2008,42.33,395.06,0,0,263.57,226.27,0
C16,C47,2008,50.08,367.92,1,0,31.21,381.91,0
C15,C18,2008,0.0,126.24,1,0,118.63,88.57,0
C35,C08,2008,206.31,391.07,1,0,1070.2,175.73,0
C03,C31,2008,1.69,15754.65,0,0,940.86,1090.12,0
C27,C06,2008,2.04,3738.92,0,0,194.97,96.47,0
C38,C14,2008,9.04,3134.19,0,0,166.51,260.63,0
C27,C25,2008,62.01,1259.79,0,0,194.97,2498.97,0
C35,C36,2008,8.08,5690.99,0,0,1070.2,801.72,1
C12,C33,2008,0.0,5492.53,0,1,3206.5,1195.61,0
C34,C46,2008,53.04,1385.14,0,0,140.99,2351.02,0
C47,C09,2008,1.42,6886.85,0,0,381.91,104.31,0
C19,C48,2008,817.49,1815.19,0,0,2851.93,6456.16,0
C42,C08,2008,2.18,1149.68,0,0,31.36,175.73,0
C39,C29,2008,44.73,1172.35,0,0,1701.61,263.57,0
C01,C17,2008,0.93,26571.56,0,0,81.74,626.08,0
C49,C14,2008,0.0,843.17,1,0,4060.39,260.63,0
C19,C49,2008,423.6,3893.48,0,0,2851.93,4060.39,0
C15,C08,2008,37.39,428.3,0,0,118.63,175.73,1
C33,C06,2008,5.85,2805.27,0,0,1195.61,96.47,0
C30,C20,2008,0.0,1071.9,0,0,281.27,33.03,0
C16,C35,2008,13.13,801.97,0,0,31.21,1070.2,0
C05,C16,2008,0.0,3800.59,0,1,498.93,31.21,0
C41,C43,2008,121.85,717.94,0,0,1090.87,1246.83,0
C47,C06,2008,0.95,12880.87,0,0,381.91,96.47,0
C19,C09,2008,48.47,936.17,1,0,2851.93,104.31,0
C12,C22,2008,983.3,465.24,1,0,3206.5,800.46,0
C33,C31,2008,1663.34,319.69,0,0,1195.61,1090.12,0
C48,C19,2008,7357.03,882.09,1,1,6456.16,2851.93,0
C34,C33,2008,10.35,2677.19,0,1,140.99,1195.61,0
C47,C08,2008,14.54,3219.57,0,0,381.91,175.73,0
C29,C37,2008,39.13,8500.84,0,1,263.57,9645.49,0
C33,C42,2008,0.0,2951.43,0,0,1195.61,31.36,0
C12,C02,2008,0.0,329.59,0,1,3206.5,142.95,0
C44,C30,2008,1.36,10943.35,0,0,159.36,281.27,0
C20,C49,2008,154.78,408.29,0,0,33.03,4060.39,0
C16,C41,2008,10.34,1803.65,0,0,31.21,1090.87,1
C03,C09,2008,0.82,8498.63,0,0,940.86,104.31,1
C35,C34,2008,0.0,6200.64,0,0,1070.2,140.99,0
C40,C45,2008,0.04,19270.13,0,1,32.74,17.94,0
C01,C34,2008,0.0,3450.51,0,0,81.74,140.99,1
C15,C44,2008,0.0,346.25,0,0,118.63,159.36,0
C33,C25,2008,273.45,1536.57,0,0,1195.61,2498.97,0
C03,C27,2008,12.07,3445.27,0,0,940.86,194.97,0
C42,C05,2008,4.21,1633.37,0,0,31.36,498.93,0
C04,C45,2008,0.0,4224.47,0,0,2684.36,17.94,0
C33,C17,2008,12.01,14389.73,0,0,1195.61,626.08,0
C20,C32,2008,802.87,86.85,1,0,33.03,1190.97,0
C49,C23,2008,581.52,1396.01,0,0,4060.39,1605.83,0
C23,C21,2008,21.8,2943.14,0,0,1605.83,910.09,0
C10,C42,2008,9.53,3599.08,0,0,2123.66,31.36,0
C35,C23,2008,615.45,1397.85,0,0,1070.2,1605.83,1
C23,C20,2008,4.6,4192.42,0,0,1605.83,33.03,0
C33,C34,2008,12.01,2075.83,0,0,1195.61,140.99,0
C23,C15,2008,6.29,4547.69,0,0,1605.83,118.63,1
C46,C22,2008,3923.87,220.16,1,0,2351.02,800.46,0
C01,C11,2008,21.15,878.23,0,0,81.74,1474.29,0
C45,C09,2008,0.8,1413.95,0,0,17.94,104.31,0
C30,C13,2008,7.74,2322.93,0,0,281.27,226.27,0
C49,C16,2008,287.74,364.18,0,1,4060.39,31.21,0
C16,C28,2008,1.49,7414.41,0,1,31.21,1030.06,0
C32,C02,2008,11.49,3766.98,0,0,1190.97,142.95,0
C31,C02,2008,43.61,1457.76,0,0,1090.12,142.95,0
C19,C01,2008,0.0,892.2,1,0,2851.93,81.74,0
C28,C25,2008,52.33,12687.73,0,0,1030.06,2498.97,0
C18,C39,2008,2.17,4633.89,0,0,88.57,1701.61,0
C47,C42,2008,4.85,1238.97,0,0,381.91,31.36,0
C36,C43,2008,43.29,2496.89,0,0,801.72,1246.83,0
C15,C11,2008,0.0,1290.77,0,1,118.63,1474.29,0
C14,C38,2008,3.26,2720.11,0,0,260.63,166.51,0
C38,C22,2008,7.01,8589.66,0,0,166.51,800.46,0
C45,C28,2008,0.81,8514.33,0,0,17.94,1030.06,0
C25,C24,2008,0.0,1403.28,0,1,2498.97,426.33,0
C45,C12,2008,10.29,2087.71,0,1,17.94,3206.5,0
C21,C50,2008,411.54,881.61,0,0,910.09,709.75,0
C11,C09,2008,132.0,399.23,0,0,1474.29,104.31,0
C09,C06,2008,2.42,2363.46,0,0,104.31,96.47,0
C39,C10,2008,456.16,1701.83,0,0,1701.61,2123.66,0
C44,C33,2008,371.38,386.99,1,0,159.36,1195.61,0
C06,C48,2008,0.0,2488.58,0,0,96.47,6456.16,1
C39,C05,2008,331.83,880.78,0,0,1701.61,498.93,0
C26,C01,2008,9.08,1139.44,0,0,411.76,81.74,0
C21,C11,2008,1.13,33401.54,0,0,910.09,1474.29,0
C20,C33,2008,0.0,1449.91,0,1,33.03,1195.61,1
C01,C24,2008,7.51,912.84,0,0,81.74,426.33,0
C17,C39,2008,0.0,6602.59,0,0,626.08,1701.61,1
C22,C07,2008,0.0,1490.63,0,0,800.46,475.52,0
C22,C38,2008,13.7,2107.12,0,0,800.46,166.51,0
C25,C16,2008,21.82,1271.97,0,1,2498.97,31.21,0
C19,C11,2008,350.28,2264.65,0,0,2851.93,1474.29,0
C49,C27,2008,174.94,1276.44,0,0,4060.39,194.97,0
C30,C41,2008,60.47,973.2,0,0,281.27,1090.87,0
C09,C14,2008,0.0,1187.21,0,0,104.31,260.63,0
C17,C42,2008,0.16,35341.58,0,0,626.08,31.36,0
C18,C50,2008,35.31,826.23,1,0,88.57,709.75,0
C13,C33,2008,343.7,353.13,1,1,226.27,1195.61,0
C03,C01,2008,3.01,4925.8,0,0,940.86,81.74,0
C07,C16,2008,0.6,3404.97,0,0,475.52,31.21,0
C19,C10,2008,0.0,3178.56,0,0,2851.93,2123.66,0
C36,C11,2008,3383.38,51.28,0,0,801.72,1474.29,0
C05,C36,2008,40.16,1346.75,0,0,498.93,801.72,0
C40,C03,2008,2.14,2142.13,0,0,32.74,940.86,0
C27,C16,2008,0.0,225.32,1,0,194.97,31.21,0
C13,C41,2008,80.58,1767.46,0,0,226.27,1090.87,0
C45,C30,2008,3.68,869.86,1,0,17.94,281.27,0
C11,C43,2008,121.55,1640.8,0,0,1474.29,1246.83,0
C31,C16,2008,6.69,1053.53,0,0,1090.12,31.21,0
C28,C47,2008,130.02,1807.17,0,0,1030.06,381.91,0
C17,C48,2008,142.99,2772.27,0,0,626.08,6456.16,0
C38,C04,2008,495.37,370.21,1,0,166.51,2684.36,0
C44,C13,2008,19.33,1071.53,0,0,159.36,226.27,0
C35,C11,2008,0.0,449.97,0,0,1070.2,1474.29,0
C07,C30,2008,593.65,336.25,1,0,475.52,281.27,0
C09,C07,2008,8.12,2990.01,0,0,104.31,475.52,0
C36,C49,2008,59.15,3414.37,0,0,801.72,4060.39,0
C20,C25,2008,0.0,53183.82,0,0,33.03,2498.97,0
C50,C13,2008,73.39,1262.98,0,0,709.75,226.27,1
C46,C39,2008,0.0,943.87,1,1,2351.02,1701.61,0
C28,C40,2008,0.0,668.94,0,0,1030.06,32.74,0
C05,C42,2008,0.39,6353.61,0,0,498.93,31.36,0
C27,C33,2008,0.0,730.13,0,1,194.97,1195.61,0
C26,C30,2008,2.33,20845.28,0,0,411.76,281.27,0
C10,C35,2008,202.7,1594.6,0,0,2123.66,1070.2,0
C26,C28,2008,403.49,508.5,0,0,411.76,1030.06,0
C11,C45,2008,0.0,209.33,1,0,1474.29,17.94,0
C41,C30,2008,18.76,1348.38,0,1,1090.87,281.27,0
C43,C05,2008,40.65,5589.77,0,0,1246.83,498.93,0
C27,C24,2008,0.0,384.32,0,0,194.97,426.33,0
C34,C30,2008,108.68,221.75,1,0,140.99,281.27,0
C10,C29,2008,80.69,1919.18,0,0,2123.66,263.57,1
C28,C50,2008,0.0,6449.88,0,0,1030.06,709.75,0
C45,C50,2008,2.21,5107.32,0,1,17.94,709.75,0
C34,C45,2008,1.22,1711.88,0,1,140.99,17.94,0
C02,C06,2008,0.22,10957.48,0,1,142.95,96.47,0
C20,C36,2008,7.69,884.24,0,0,33.03,801.72,0
C02,C44,2008,0.48,30096.06,0,1,142.95,159.36,0
C43,C44,2008,3.83,10418.56,0,0,1246.83,159.36,0
C16,C42,2008,0.19,4770.5,0,0,31.21,31.36,0
C49,C28,2008,683.41,2178.39,0,1,4060.39,1030.06,0
C36,C25,2008,1356.7,463.76,1,0,801.72,2498.97,0
C30,C46,2008,58.91,2218.45,0,1,281.27,2351.02,0
C31,C18,2008,122.72,279.82,0,0,1090.12,88.57,1
C25,C48,2008,0.0,3282.7,0,0,2498.97,6456.16,0
C47,C07,2008,1.16,13220.69,0,0,381.91,475.52,0
C42,C33,2008,0.83,7242.28,0,0,31.36,1195.61,0
C24,C36,2008,3.02,10851.5,0,0,426.33,801.72,0
C08,C17,2008,0.0,539.35,0,0,175.73,626.08,0
C26,C27,2008,9.23,3090.97,0,0,411.76,194.97,0
C18,C38,2008,4.45,1537.14,0,0,88.57,166.51,0
C19,C31,2008,0.0,1296.84,0,1,2851.93,1090.12,1
C21,C26,2008,29.53,1342.02,0,0,910.09,411.76,0
C44,C37,2008,19.7,3645.48,0,0,159.36,9645.49,0
C45,C37,2008,61.34,442.87,0,0,17.94,9645.49,0
C38,C46,2008,123.31,945.02,0,0,166.51,2351.02,0
C20,C02,2008,1.24,2843.78,0,0,33.03,142.95,0
C19,C03,2008,956.04,1000.84,0,0,2851.93,940.86,0
C48,C18,2008,26.45,2053.16,0,0,6456.16,88.57,0
C05,C20,2008,0.32,9904.13,0,0,498.93,33.03,0
C46,C17,2008,189.44,3818.4,0,0,2351.02,626.08,1
C46,C14,2008,335.2,964.53,0,0,2351.02,260.63,0
C43,C48,2008,300.74,3852.53,0,0,1246.83,6456.16,0
C37,C15,2008,0.0,300.07,0,0,9645.49,118.63,0
C24,C30,2008,0.0,1914.49,0,1,426.33,281.27,0
C19,C39,2008,1011.95,593.14,1,0,2851.93,1701.61,0
C09,C27,2008,0.76,13449.27,0,0,104.31,194.97,0
C21,C39,2008,231.46,842.75,0,0,910.09,1701.61,0
C14,C09,2008,1.76,2788.99,0,0,260.63,104.31,0
C44,C31,2008,14.83,2547.05,0,0,159.36,1090.12,0
